"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Hardbristle Bandit","G","C","268615","3.50","66852","4.54","369315","91.2%","55.1%","66962","58.9%","83996","53.2%","150958","55.8%","217444","54.7%","1.1pp"
"Intrepid Stablemaster","G","U","90762","2.99","27764","3.63","159236","93.2%","56.0%","28506","59.5%","35771","54.9%","64277","56.9%","94709","55.3%","1.6pp"
"Map the Frontier","G","U","176110","6.37","20292","9.67","34317","28.6%","51.1%","5807","48.7%","8241","51.1%","14048","50.1%","20196","51.8%","-1.7pp"
"Ornery Tumblewagg","G","R","16541","1.40","12995","1.40","77530","95.3%","57.4%","13842","64.5%","18504","61.0%","32346","62.5%","44343","53.6%","9.0pp"
"Outcaster Greenblade","G","U","70853","2.50","35921","2.70","206797","92.3%","57.5%","37428","61.1%","49781","61.3%","87209","61.2%","119005","54.8%","6.4pp"
"Outcaster Trailblazer","G","R","19681","1.64","12256","1.66","70075","93.4%","56.2%","12535","60.7%","16651","58.4%","29186","59.4%","40755","53.8%","5.6pp"
"Patient Naturalist","G","C","346553","4.56","80306","6.02","414985","84.4%","55.9%","74114","56.8%","96149","56.4%","170263","56.6%","243994","55.5%","1.1pp"
"Railway Brawler","G","M","7169","1.22","6265","1.22","38122","96.3%","58.0%","6653","66.7%","9320","64.1%","15973","65.2%","21751","52.5%","12.7pp"
"Rambling Possum","G","U","112619","3.62","27446","4.68","149526","90.0%","55.1%","26181","54.5%","34205","54.8%","60386","54.6%","88028","55.3%","-0.7pp"
"Raucous Entertainer","G","U","125122","4.02","24851","5.43","126741","85.1%","53.8%","22274","52.8%","28579","52.2%","50853","52.5%","75696","54.7%","-2.2pp"
"Reach for the Sky","G","C","464548","7.43","59183","10.78","89514","25.0%","54.7%","13752","54.0%","20663","56.1%","34415","55.3%","54981","54.4%","0.9pp"
"Rise of the Varmints","G","U","161117","5.51","26074","7.64","78061","49.9%","53.5%","12279","50.2%","18522","56.9%","30801","54.2%","47041","52.9%","1.3pp"
"Smuggler's Surprise","G","R","37576","2.97","10071","3.45","48315","79.2%","55.4%","8040","55.2%","11469","58.1%","19509","56.9%","28676","54.2%","2.7pp"
